Department,Project,Metric,Planned Value,Actual Value,Date,Data Quality Score
HR,Hiring Forecast,Accuracy,146,53,2024-01-07,0.94
Operations,Water Usage Optimization,Compliance,50,60,2024-01-14,0.94
Finance,Water Usage Optimization,Accuracy,68,87,2024-01-21,0.96
HR,Logistics Efficiency,Cost,51,59,2024-01-28,0.97
HR,Water Usage Optimization,Compliance,102,159,2024-02-04,0.85
Operations,Water Usage Optimization,Cost,93,47,2024-02-11,0.85
Finance,Water Usage Optimization,Compliance,139,46,2024-02-18,0.94
Finance,Logistics Efficiency,Compliance,81,106,2024-02-25,0.89
HR,Water Usage Optimization,Timeliness,119,56,2024-03-03,0.91
Public Utilities,Hiring Forecast,Cost,81,72,2024-03-10,0.94
HR,Logistics Efficiency,Accuracy,117,87,2024-03-17,0.97
HR,Hiring Forecast,Accuracy,104,115,2024-03-24,0.8
HR,Logistics Efficiency,Cost,124,98,2024-03-31,0.81
HR,Water Usage Optimization,Accuracy,105,154,2024-04-07,0.73
Operations,Hiring Forecast,Accuracy,66,125,2024-04-14,0.87
Finance,Logistics Efficiency,Cost,87,158,2024-04-21,0.71
Operations,Budget Review,Compliance,73,61,2024-04-28,0.84
Operations,Water Usage Optimization,Cost,118,149,2024-05-05,0.86
Operations,Logistics Efficiency,Compliance,147,69,2024-05-12,0.79
HR,Budget Review,Accuracy,119,77,2024-05-19,0.88
Public Utilities,Logistics Efficiency,Accuracy,135,141,2024-05-26,0.71
Finance,Budget Review,Accuracy,60,148,2024-06-02,0.71
Public Utilities,Water Usage Optimization,Timeliness,65,90,2024-06-09,0.95
Operations,Hiring Forecast,Compliance,146,93,2024-06-16,0.81
Operations,Budget Review,Timeliness,122,47,2024-06-23,0.74
Public Utilities,Logistics Efficiency,Timeliness,108,66,2024-06-30,0.86
Public Utilities,Water Usage Optimization,Cost,119,66,2024-07-07,0.93
Public Utilities,Budget Review,Timeliness,129,137,2024-07-14,0.76
Operations,Logistics Efficiency,Cost,142,60,2024-07-21,0.89
Operations,Logistics Efficiency,Cost,52,69,2024-07-28,0.73
Finance,Logistics Efficiency,Timeliness,69,136,2024-08-04,0.72
Finance,Budget Review,Compliance,108,67,2024-08-11,0.86
Operations,Budget Review,Compliance,85,150,2024-08-18,0.86
Public Utilities,Budget Review,Compliance,68,103,2024-08-25,0.89
Public Utilities,Hiring Forecast,Compliance,139,136,2024-09-01,0.92
Finance,Budget Review,Compliance,116,108,2024-09-08,0.99
Operations,Budget Review,Timeliness,68,100,2024-09-15,0.85
Finance,Budget Review,Timeliness,69,87,2024-09-22,0.8
Finance,Hiring Forecast,Accuracy,145,58,2024-09-29,0.94
HR,Budget Review,Compliance,120,43,2024-10-06,0.78
